power,threads,time,abs_err,rel_err
16,64,2.6508205,0.0,0.0
16,128,2.326302,0.0,0.0
16,256,2.1079915,0.0,0.0
16,512,2.3958915000000003,0.0,0.0
16,1024,2.2985145,0.0,0.0
18,64,3.0160340000000003,0.0,0.0
18,128,3.0821375,0.0,0.0
18,256,2.833671,0.0,0.0
18,512,2.9155765,0.0,0.0
18,1024,3.161428,0.0,0.0
20,64,2.9807490000000003,0.0,0.0
20,128,3.1132649999999997,0.0,0.0
20,256,2.7230955,0.0,0.0
20,512,2.828966,0.0,0.0
20,1024,2.949398,0.0,0.0
22,64,2.86418,0.0,0.0
22,128,3.073525,0.0,0.0
22,256,2.8636245,0.0,0.0
22,512,3.0550505,0.0,0.0
22,1024,3.1193470000000003,0.0,0.0
24,64,3.8708970000000003,0.0,0.0
24,128,3.425126,0.0,0.0
24,256,3.580602,0.0,0.0
24,512,3.4400185,0.0,0.0
24,1024,3.7971899999999996,0.0,0.0
26,64,5.314508999999999,0.0,0.0
26,128,5.0545615,0.0,0.0
26,256,5.1027775,0.0,0.0
26,512,4.893713,0.0,0.0
26,1024,5.2742715,0.0,0.0
